"REF_DATE,""GEO";""",""DGU";"ID""";",""Month of death"",""Characteristics"",""UOM"",""UO";"M_ID"",""SCALAR_FACTOR"",""SCALAR_ID"",""VECTOR"",""COORDINATE"",""VALUE"",""STATUS"",""SYMBOL"",""TERMINATED"",""DECIMALS"""
"2010,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216333"",""1.2.2"",""8.9"","""","""","""",""1"""
"2011,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216333"",""1.2.2"",""9.5"","""","""","""",""1"""
"2012,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216333"",""1.2.2"",""9.1"","""","""","""",""1"""
"2013,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216333"",""1.2.2"",""10.1"","""","""","""",""1"""
"2014,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216333"",""1.2.2"",""9.2"","""","""","""",""1"""
"2015,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216333"",""1.2.2"",""10.2"","""","""","""",""1"""
"2016,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216333"",""1.2.2"",""8.9"","""","""","""",""1"""
"2017,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216333"",""1.2.2"",""9.8"","""","""","""",""1"""
"2018,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216333"",""1.2.2"",""10.1"","""","""","""",""1"""
"2019,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216333"",""1.2.2"",""9.2"","""","""","""",""1"""
"2020,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216333"",""1.2.2"",""8.8"","""","""","""",""1"""
"1991,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216334"",""1.3.1"",""15417"","""","""","""",""0"""
"1992,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216334"",""1.3.1"",""16298"","""","""","""",""0"""
"1993,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216334"",""1.3.1"",""16333"","""","""","""",""0"""
"1994,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216334"",""1.3.1"",""17035"","""","""","""",""0"""
"1995,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216334"",""1.3.1"",""17766"","""","""","""",""0"""
"1996,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216334"",""1.3.1"",""17805"","""","""","""",""0"""
"1997,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216334"",""1.3.1"",""17840"","""","""","""",""0"""
"1998,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216334"",""1.3.1"",""20015"","""","""","""",""0"""
"1999,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216334"",""1.3.1"",""19678"","""","""","""",""0"""
"2000,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216334"",""1.3.1"",""17923"","""","""","""",""0"""
"2001,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216334"",""1.3.1"",""18046"","""","""","""",""0"""
"2002,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216334"",""1.3.1"",""18546"","""","""","""",""0"""
"2003,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216334"",""1.3.1"",""17850"","""","""","""",""0"""
"2004,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216334"",""1.3.1"",""19343"","""","""","""",""0"""
"2005,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216334"",""1.3.1"",""19657"","""","""","""",""0"""
"2006,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216334"",""1.3.1"",""18388"","""","""","""",""0"""
"2007,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216334"",""1.3.1"",""20217"","""","""","""",""0"""
"2008,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216334"",""1.3.1"",""19988"","""","""","""",""0"""
"2009,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216334"",""1.3.1"",""19233"","""","""","""",""0"""
